review,label
from this diwali  i am trying to authenticate aadhar but it shows error or sometimes said failed tell us how then we will authenticate aadhar and use app for tatkal tickets,0
good,2
the app doesnt even open absolute shame,0
the booking system is deeply flawed most useless it mgmt needs privatisation you want to torture yourself mentally then pls use irctc train booking new nonsense innovation is aadhar authentication and the system doesnt work easily and then your quota is done for the daytry next day super,0
my app is not working at all for every time i am opening the app is hanging and all time i have to uninstall and install for every transaction continuously i am asking for help but no solution till now,0
worst appit is not opening since  days everytime i need to uninstall it then it opened for once onlyif i try to open   days later again it just verifying for so long n showing errorn i am talking about normal timesn for tatkal its like bhool jao ki koi tkt v milega,0
login issues persist,0
unable to login its showing validating pin for a long time,0
whenever booking a tatkal ticket the amount gets deducted from my bank account within  to  seconds but the system buffers for about  minutes and finally says that the ticket was not booked after the amount is deducted it takes too long and still doesnt confirm the booking cant even go back to book without any confirmation,0
thank,2
irctc has many problems,0
very bad experience,0
all over okay,2
i am trying to book tatkal ticket from  day and every time its saying connection error but after  to  min the app is working very smooth all the problem arise when tatkal seat are available and when seat is not left all such problem is over since  day same problem is happening and my father saying me nalaykhworthless because of this so please tell me how i convenience my father that its not my mistake or connection problem its app problem reply the reason which convenience my father,0
what is the use if we cant even log in it keeps on validating the pin only,0
app is taking too much time to login but not able to loginneed to book tickets but cant book because of login issue,0
very poor not working only buffering previously it was good but from  days i cant buy a ticket because app is stopped working in my phone even though i have done my kyc adhar verification everything but still not working,0
app not working properly,0
nice app,2
not getting pin validated to do login,0
at the time of logging in the app after i have entered my credentials its has been showing validating pin continuously for  mins i have been facing this issue from the last  weeks irctc has made the systems of password setting pin email etc so strict that it cause so much of inconvenience and after all that there is again this failure i swear if there was some other alternative of this app then i would have used it but the thing is that indian railways have monopoly,0
much better,1
always showing validate pin mc app seriously irritating while bookingits better to privatize this services,0
very worst app required update,0
app not login validating pin problem please resolve this issue,0
very pathetic service to check seat availability every to have to uninstall and install this pathetic app please work on this,0
login problem progress,0
very bad app gatar chhap app from gatar chhap railway systemkha thuwhen try to get appit shows validating pinthen nothing is going to happenapp from india mostcurrupted people,0
preg and female pref lower birth dena chahiyejaise ek column hai na ki allocate only when births are confirmedwaise hi ek preg female aur allocate only when lower birth are allocated wala box ho opt krne k liyeek aur prob hai ki irctc walo tatkal booking k time tm jo ticket pending rhta h usko pending hi rkho dusra book kr leta h insaan aur paise do ticket k chl jate hain,0
worst app,0
when i try to login it says validating pin,0
worst app,0
good,2
ek saptah se try kar raha hu  kbhi login nhi hota hai fir jaise lgta hai server hamesa hi down rahta hai  worst app hai ya koi scam chal raha hai yaha ,0
it will search trains after the holidays are completed and may be sold to private companies,0
not logging in after entering password and captcha too,0
too much problem booking ticket and at last not booked,1
not able to login and view the tickets after the update,0
always shows error while booking the ticket or in tatkal app freezes like an ice,0
it takes too much time to login,0
not good,0
fantastic experience i spent  days learning how to fail at honest tatkal booking then one agent taught me the real shortcut  pay extra and get instant confirmation feels great to see how smoothly corruption runs while apps crash and rules keep changing indian railways should win an award for teaching patience helplessness and sarcasm all at once,0
great,2
i am using this app since  and now a days this app has become worst and the number of tickets also are not showing what about this kind of glitch in an official app then how i will book the ticket from this ,0
second worst app first still retain by irctc website,0
not working properly,0
app mostly not working on android phone,0
one of the shittiest app every time you open the app you need to login and sometimes login can take a day,0
login not working it keeps showing the message please wait issue not resolved since i checked last time one week back,0
good,2
disgustingly bad app as far as registration and captcha is concerned,0
very slow and always creates trouble while booking tatkaal tickets,0
crazy app full of advertisement they are making money on ad also they are not bothered about customer facing problem in login and slowness but they have put full of advertisement on all the screen and loading the app,0
the app has stopped working properly after update kindly fixit keeps on saying validating dont allow to log in is this a special arrangement for agents only ,0
this app is getting worse with time and in the name of the facilities the app is making us fool whenever i enter the password to open the app it shows the validating process for minutes and then demands a password again fix the issue asap,0
good app for rail ticket,2
bad network slow website application,0
adhaar authentication completed already but it still shows that go to account and authenticate adhaar very bad experience i didnt complete my booking due to this glitch,0
login issue,0
very bad experiencing this app not properly working at the time of tatkal booking thats why my tatkal booking always leave,0
one of the worst application i have ever seen during tatkal they will deduct money without giving booking confirmation and will return money within  working days with extra tatkal charges irctc running with these charges only,0
my profile is aadhar authanticated still app gives a pop up saying that you need to authenticate your profile for tatkal reservation and not allowing me to proceed for tatkal tickets what the hell is this ,0
good,0
very poor response at the moment validating pin is displayed on the login screen but login is not happening,0
for tatkal time app not working,0
never ever opens to book the tatkal tickets always shows error even after registering with aadhaar worst app,0
worst app of irctc every time the app shows  mins for login and during tatkal booking show  there seems to be a connection issue with your request please try after some time after  to  mins found ok means that app crashed during tatkal booking,0
such a worst app,0
today i tried to book an instant ticket on the irctc app but the ticket could not be booked so you should try to fix it as soon as possible if there is any load on this app then try to reduce it ,0
                         ,0
worst app ever  its better to use third party apps to book tickets,0
open nhi ho raha hai please wait kar raha hai,2
login issues with this app nowadays,0
we are experiencing very bad experience with you at the prime time of ticketing ,0
corruption pokes its nose here too,0
tatkal ticket ke samay ye app automatically logout ho jata hai,0
this app is good but in some cases it shows problems while booking tatkal tickets the app automatically logged out while using irctc wallet the payment process takes time and provides tatkal waiting in many cases the login process takes to much time in tatkal cases,1
wrost experience,0
app is not working properly and having issues after the aadhar verification,0
there is a lot of error to use application ticket not book easily in this web,0
bohot hi ghatiya app hai,0
pathetic app designed for brokers with special privilege to book tickets and sold at a higher price the general public cannot book a tatkal ticket either they wont be able to login or it will be stuck on the payment step and only will start working once all the ticket finished people are getting befooled app developers must have given some privilege to brokers,0
each tatkal ticket ticket sold to fraud ways with the behalf of railway ministry and his staff ,0
nice app or ticket booking started hote hi ticket waiting ho jate hai,2
login issue,0
always getting problems with tatkal booking connection error or automatic logout,0
does not open the app too much delay,0
bad experience server issue ,0
worst railway in the world  hr delay and tatkal booking is a hectic one,0
worst application,0
very bad experience,0
sabse bekar apps,0
this app is only working for booking general ticketswe cant able to book tatkal tickets always showing network issuesvary bad,0
useless app for tatkal bookings,0
bakwas application my rating ,0
not open this aap many times login,0
just validating a pin takes one day its the worst app that i have used,0
worst experience,0
worst app for booking,0
not working after the update its just shows the validating pin its getting worse with every update,0
when i m trying to book tatkal is shows there seems to be connection issue with your requestplease try after some time this is a very frustrating if u r planning by train by booking tatkal rethink your plans,0
i had a terrible experience at haridwar railway stations ticket counter  on october th i had a  am train to haldwani and i went to the counter around  pm to buy a general ticket when i offered to pay online the staff refused insisting on cash payment despite the signboard clearly mentioning online payment acceptance i was made to wait for over  minutes and despite my repeated requests the staff a again that i finally got my ticket the lack of customer service and disregard,0
its very worst app ill never recommend anyone else to use,0
good application,2
login issue in my phone,0
i am not able to login to the irctc mobile app it kept on checking credentials always,0
network problem and technical issue tatkal time why only  minit time but all tickets book why indian rail please help all indian man,2
worst app of the century,0
pathetic app its just stuck at login page,0
lately the app is unable to authenticate users just keep saying validating,0
using the irctc app feels like waiting for a train thats always just about to arrive maybe its time to simplify instead of complicatebecause right now booking a ticket feels like a test of patience not convenience,0
always problem facing at the time of booking tkt bad aap,0
useless app during emergency,0
bad experience ,0
doesnt log in please fix the bug,0
worst could not able to login buffering,0
only for scams,0
app logged out at the worst time possibleand these days feels like booking ticket from it is the most difficult part,0
app always works smoothly unless i am trying to book tatkal ticket app was working perfectly fine untill tatkal window opened all issues occured simultaneously at that moment i would like to request irctc to not display such features which cant be used ever,0
the application is the worst ever application i have seen even a lac company would be able to make better than this government should use some money to hire better developers,0
this app is of no use to the general public only brokers are able to book tatkal tickets the app is crashing multiple times and tickets are not booking even after completion of payments,0
one of the worst apps unable to login even after multiple attempts,0
worst app sacm this app always error system when ticket booking ,0
worst server crashed daily during tatkal,0
tatkal ticket time me error ata hai hamesha,0
my app is getting automatically logged out after  mins not able to book any tickets either in general or tatkal also while logging in it takes too much time in validation,1
worst app,0
app slow motion,0
error occurred everytime while tatkal booking,0
third class web site always founds an issue while booking tickets,0
very wrost app,0
pathetic app pathetic services,0
for a new ticket timingam to am feature is not good for adhaar card authentication user kisiko agar urgency mein ticket katna pade toh woh kya karega aur irctc side bhi pura slow kar dete hain railway side se vinamra anuradh hain ki agar aap nahi cahte h ki pehele jesi facility na mile users ko toh aap id ko block kardijiye acha rahega dhanyawad ,0
worst app,0
good,2
every time when i am booking any tatkal ticket this app is too slow and not working properly at time of tatkal ticket booking adds popup on this app too much,0
nice app,2
app i entering passwordnot opening please solve this issue as fast as possible,0
good,2
worst app ever used in my life most worst appp not working at right time,0
very bad experience apps not run properly,0
for login each i need to uninstall and reinstall again then only able to login please check whats wrong,0
from last few weeks dis app is not working properly unable to login  but no action to solve d problem is taken,0
        only confirm select          irctc e wallet recharge                 payment        waiting      app     ,1
these days post latest update app has become practically useless it takes over  mins for pin to be validated even while booking it goes till last page and then gives error that system was not responding try again later this was observed multiple times its become impossible to book tatkal tickets with such issues with the app,0
login issues using pin only able to login using otp chances of getting tatkal is reducing day by day app is getting slower and slower worst app,0
not responding not opening not working what is happening with application very poor performance,0
dr irctc i want to say please update irctc app because it is logout app when refresh to book tatkal on sharp  am and  am check what is the seen i think there is any loop hole or bug in app,0
its not letting me log in on the first attemptit is always stuck on the validating pin but on the nd attempt its always logging ineven clearing data or cache didnt helpnd thing is while booking tickets lots of glitches in showing availability of ticketswhile doing payment it shows seats are available but on successful payment you will find your ticket is waitlistedthis is not fair at all ,0
very bad server,0
login never works,0
most of the time the app doesnt work properly,0
very bad app performance,0
worst app resources not working good at any time,0
it keeps on saying validating user but never logs in its better to book tickets on web site instead of using this rd class app,0
app takes never ending time to validate the pinjust like any other government project,0
checking credentials stage app is stuck tried many times,0
good app need change of date facilities in irctc ticket,2
every time i try to login st time progressbar on validating user id password never stops killing and reopen the app is only solution delevopers thoda kaam bhi kr lo user id  maria,0
irctc app does not go further after the validating pin option and it has been more than a week rotating round and round and cant login after uninstalling and installing it again its going fine and it is a repeatedly harassing process,0
stupid update,0
unable to login and no resolution received,1
useless app,0
most of the times the app is not operational during the main booking hours,0
last couple of weeks its not opening validating pin option loading long time worst app government should look into this finally unable to book my ticket often,0
not opening,0
past  weeks i am not able to login at all it is saying checking please wait then closes,0
unable to login asks for captcha repeatedly went to site to book the ticket,1
the app has become extremely unreliable these days it often gets stuck on validating pin and fails to log in this issue has been happening for a few weeks now and still isnt fixed the website is also difficult to access  sometimes even the booking url doesnt load very disappointing and frustrating experience,0
i am facing continuous issues while logging into the irctc system each time i try to log in i am unable to access my account directly and have to go through the forgot password procedure before i can log in successfully additionally the irctc app has been running extremely slowly which is affecting my regular work as i frequently use irctc for my professional activities this ongoing issue has become quite frustrating over the past two days i kindly request you look into this matter,0
good,2
sometime otp for login not taken even though we put otp correct the app shows invalid otp,1
poor quality ,0
not working properly,0
ticket booking time not working ,0
nice app,2
this app is not working since last  weeks it just keeps stuck at validating while login and has no update on the same yet i have also registered a eticket regarding the same but still no update on the same whats point of having mobile app if it doesnt work and its not just for me it is not working i beleive it is not working for any of us i have cross checked that is at an issue for me or all but got same response from them as well thats its not working,0
not so good password keeping so long is difficult to remember hopeless system,1
unable to login getting error as validating pin,0
i am trying to complete my adhar authentication but every time it show unable your request,0
app shows that i can not book tickets during  am to  am  and i have benny trying to do this last  days but app is not sending otp and finally shows that my my aadhar verification limits have exhausted,0
good,2
its been down for weeks just keeps showing a waiting icon and then goes back as refreshing pin when trying to login unable to login since  week,0
app is dying slowly not able to login easily despite fully updating this it seems someone has eaten bribes to promote third party apps,0
not working properly it takes too much time before start,0
no login,0
since last  week i am trying to login but after putting login credentials app show only validating credentials for  minutes and login not allowing one of the worst app the people who are maintaining this software are very corrupt and busy in looting public money,0
worst app  not working app is sleeping on the railway track as indian railways,0
login issues,0
retiring room application page not opening,0
from the past one week this app is not allowing me to log in it keeps showing a validation pin message every time i try to sign in even after entering the correct details it doesnt proceed further please fix this issue  its very frustrating and makes it difficult to book tickets on time,0
never open in one time sometimes take days to open very bad app,0
very bad now,0
app isnt opening,0
unable to login after trying many times,0
irctc tatkal booking is scam i made the payment within  sec at am and the app kept showing payment processing wasted  minutes showing this message and my ticket was not booked despite having more than  seat when the payment was made i kept checking during the whole staged drama of payment processing and there were tickets available but it was not booked as soon as the tickets were looted by the agents a message prompted to book waitlisted tatqal this whole process is a scam,0
  app login    negativ,1
wth is this validating pin error since last  week unable to login tried reinstalling app still issue persists is app developer on leave,0
now a days this app makes more disturbancealways makes problem,0
slow working,0
good ,2
all tickets book from dallals please solve,0
good ,2
very poor experience now a days previously was very good service but now disappointed,0
since oct st   facing issues in login on the app even having  mbps net speed it doesnt allow you to login moreover at the time of   app oxygen                  project         user base    user base    govt          govt apps    ,0
always lagging,0
dear team from the last few days i am unable to login in the irctc app kindly resolve the issue,2
not able to login app crash very frequently,0
stupid appwe need to wait minimum  minitues to open,0
good,2
upi payment is not showing for me can you please resolve this issue,0
irctc app users are facing login issues where it gets stuck at validating pin even after entering otp pin or fingerprint a temporary fix is to uninstall and reinstall the app then log in with your registered irctc id and password set a new login pin and youre good to go this provides temporary access repeat these steps if logged out automatically during your next booking tested personallyworks fine,0
what happened to this app i have been unable to login for the last  weeks while logging its showing validating and you are unable to login,0
worst app  login problem very bad experience,0
useless app not a single feature works properly at last need to depend on third party apps,0
this nice app,2
very difficult to get tatkal ticket eventhough we are paying money not easy to get ticket showing error many times when we will improve from such a scenario ,0
only validating pin  no login worst service now each time we need to uninstall and then install the app for tickit booking,0
not working properly application showing only validating,0
this app is not working now a days,0
very dissatisfied with the app first of all it doesnt log in only shows validating and the automatically logs out i am not able to book tickets or view my bookings i am very disappointed,0
very good,2
purane band irctc app men adhar link hone se naye irctc app me adhar link nahi ho raha,0
by using app not able to login any issue going on this app,2
getting crashed every now and then lacs of ppl are using it please do the needful at the earliest and fix the bugs,0
niec,2
please refresh,2
very bad user experience in terms of login ,0
very slow workingtoo difficult to use properly,0
very worst app i have seen ever in life,0
food is good legend restaurant mahesana thank you,2
i am trying to login in the app but its not letting you to then it showed wrong password and didnt allow to even reset password i changed my password from web and since then i am trying to log in in the app but its showing validation and nothing more how do even i book my ticket such a worthless app please fix bugs,0
the condition of indian railways is really bad the management system is just terrible i am experienced is not good condition indian railway ticket so high price and general coaching condition are so very bad condition present time ,0
very slow,0
lately even logging into the platform is an achievement the app does not let me through the login page itself with continuous buffering for pin validation what is going on with irctc,0
cancellation charges and refund amount should be clearly disclosed while cancelling a ticket it seems irctc is hiding with deceptive intention,0
recently unable to login  login attempts fail that too during evening hoursnot during tatkal,0
very poor app is gatiya app me password change nahi hota,0
do din se khul hi nhi rha kuch bhi,0
dirty dirty dirty app this organisation should be banned from operating in train travel space if there was a zero star i would like to give that they are saying that you should autheticate to book ticket but does not allow to authenticate  crazy  gone mad with such a hopeless organisation ,0
