review,date,label
best apps,2024-04-25,2
this app is only working for booking general ticketswe cant able to book tatkal tickets always showing network issuesvary bad,2024-07-01,0
you should give good quality breakfast and meal,2024-06-12,2
today on  th october i have been trying to login into the app but not once it was successful cursor keeps surculing wround and wround,2024-03-11,0
its very worst app ill never recommend anyone else to use,2024-09-02,0
useless app for tatkal bookings,2024-01-24,0
very good,2024-09-08,2
login using pin or fingerprint gets stuck on the validating pin screen it works only after reinstalling the app but the issue reappears once you try logging in again with pin,2025-05-27,0
ye app kyu hai suvidha dene ke liye ya pareshani today i tried to book tatkal tickets for my parentstickets were available details were right all the steps including payment were done by  and it started processing paymentwhich took  mins resulting in a waiting list of  and  which has hardly any change of confirmation,2025-10-21,0
na kare janab na kare khuda ka kauf kare etna late trains indian railway aap kuchh sahi karne se pahle sharm kare,2024-06-26,0
one of the worest app i am booking ticket from last week takkal quota i am not getting only that too same time same train i have the proof if amount debited ticket is not available if money debited ticket is in waiting as soon as you open at  pm they will throught u out of the app now what is the value of addhar card verification done no value scam scam please reply,2025-06-07,0
bad experience ,2024-01-26,0
what the use of irctc application at the time of tatkal booking literally server not availableworst experience it has use only to check train schedulerather than booking is impossible pls dont trust irctc application,2025-05-06,0
never ever opens to book the tatkal tickets always shows error even after registering with aadhaar worst app,2025-04-25,0
every time i try to login st time progressbar on validating user id password never stops killing and reopen the app is only solution delevopers thoda kaam bhi kr lo user id  maria,2024-02-12,0
nice,2024-06-21,1
third class app,2025-01-04,0
login issues persist,2025-03-06,0
very good,2025-09-09,2
oky,2024-04-26,2
login issue not able to login,2024-04-27,0
niec,2025-04-16,2
best app,2024-12-24,2
app not working properly some days,2025-03-01,0
many new issues  it seems that they have now made some shady deal with makemytrip where irctc now shows waiting list for seats of vande bharat train even many days in advance but same tickets are available on mmt for double the price this is for tickets numbering in  not some small number of tickets according to me this is fraud with the general public  irctc app has stopped showing the option for no meal and forces one to choose between veg or non veg meal,2024-11-08,0
login issues with this app nowadays,2024-08-12,0
all the need to re install the app to open it taking too much time to verify captcha code reported my issue at help desk but no response received,2024-07-13,0
ghatiya app,2024-07-22,0
showing validating pin and not login worst app,2025-09-05,0
worst appcant login,2025-04-04,0
the app is malfunctioning since last  days its not opening and everytime ive to uninstall and install to open it,2024-12-25,0
good,2024-01-30,2
worst app ever used,2025-06-09,0
by using app not able to login any issue going on this app,2025-05-13,2
etna khush khas nhi hai har bar waiting hi dikhata hai,2024-08-21,1
poor,2025-04-29,0
from the last update it is not even logging in properly kindly notice the issue and rectify,2024-06-17,0
good ,2025-08-28,2
maja nhi aa raha hai,2024-03-30,2
doesnt log in please fix the bug,2024-09-16,0
really very disappointed wasted my money while doing tatkal bookings developers need to look into all the issues this is a central government app right so please look into it,2024-02-02,0
buffering for long time even for train search app is not like to use if minus rating support ill definitely rate in minus,2024-11-17,0
achcha app hai,2024-06-23,1
i m unable to login since last  weeks showing validating pin,2024-05-03,0
preg and female pref lower birth dena chahiyejaise ek column hai na ki allocate only when births are confirmedwaise hi ek preg female aur allocate only when lower birth are allocated wala box ho opt krne k liyeek aur prob hai ki irctc walo tatkal booking k time tm jo ticket pending rhta h usko pending hi rkho dusra book kr leta h insaan aur paise do ticket k chl jate hain,2024-10-02,0
not able to get confirm tickets online by ourself ticket show all ready booked this app is not for us to book tickets easly bakvas app is is all tickets are in waiting list and tatkal ticket you not able to book life time from this irctc app,2024-03-20,0
ghatiya app,2024-07-08,0
good app,2025-02-06,2
always not working on tatkaal booking time ,2024-05-28,0
very bad app  amount on booking time deducted but ticket not book,2025-08-17,0
problem in login everytime i hv to resort to forcestop for login otherwise it keeps rolling endlessly  checking credentialsvery pathetic experience for a very important app,2025-02-17,0
not working asking password change again and again very bad experiance,2024-11-24,0
the app is repeatedly keep on waiting on the validating pin not able to login every time need to install and uninstall the app,2024-08-26,0
recent times app doesnt log in it shows validating pin i cant book tickets what is the reason kindly update it,2024-12-25,0
i am facing continuous issues while logging into the irctc system each time i try to log in i am unable to access my account directly and have to go through the forgot password procedure before i can log in successfully additionally the irctc app has been running extremely slowly which is affecting my regular work as i frequently use irctc for my professional activities this ongoing issue has become quite frustrating over the past two days i kindly request you look into this matter,2024-02-23,0
all tickets book from dallals please solve,2025-10-11,0
irctc walo app banaya hai ya kuch or isko fast karo very slow app isse badhiye to kisi or merchant acha book ho jata isme bhi kuch innovation kar lo,2024-12-03,0
disgusting app for ticket booking,2024-08-16,0
app is not logging in despite repeated attempts tried uninstalling and installing it again also,2025-07-19,0
very dissatisfied with the app first of all it doesnt log in only shows validating and the automatically logs out i am not able to book tickets or view my bookings i am very disappointed,2024-09-05,0
recent version is closing automatically after searching two to three trains,2025-07-26,0
since one week unable to access my irctc rail connect app provides everything whatever is required but the app keeps waiting time too much dont whats the issue with app or any kind of bug or malfunction of the i hope this issue short it out soon i request the responsibility of team please look into this issue and solve it asap,2024-04-23,1
deducted money without any ticket booking no support no return,2024-05-07,0
train platform par hai chart not prepared show ho raha hai kya bakbas app hai,2024-05-02,0
good,2025-04-30,2
not opening only validating pin is coming,2024-08-04,0
ye app apni marji ka malik hai iska mud hota hai tab hi aap use kar sakte hai isko,2024-03-26,0
its not working in my pixel ,2024-04-23,0
never open in one time sometimes take days to open very bad app,2025-02-06,0
  app login    negativ,2025-10-24,1
irctc interface very bad and ticket booking  month waiting waiting waiting,2024-12-07,0
waste of time,2025-10-29,0
good,2025-07-17,2
excellent performance for train tickets and catering purposes,2024-05-22,2
worst app,2024-04-24,0
login issue,2025-10-21,0
bahut hi ghatiya app hai login hi nhi hota,2025-03-16,0
very bad experience because this app of always server is down,2025-07-27,0
very good,2025-05-13,2
very slow to login,2024-05-02,1
app is slow and loading please the government of india please dont recommend it to irctc,2024-11-23,0
login issues using pin only able to login using otp chances of getting tatkal is reducing day by day app is getting slower and slower worst app,2025-04-10,0
only for scams,2025-05-25,0
what a waste app unable to authenticate my adhaar and the population of the country sucks like you cant even have  minutes for booking tickets cuz all will get sold out,2025-05-11,0
previously it was ok but with latest update its not allowing to login  validating pin for long time and its not login in please address this issue on priority  not able to book the ticket,2025-06-16,0
worlds jhantu railway rule for booking tickets  even your children are booked apart from ur family ,2024-09-26,0
so slow,2024-04-26,0
very worst app required update,2025-04-04,0
